ဈ	Za
ဈံ	Zan
ဈံ့	Zan
ဈက်	Zet
ဈင်	Zin
ဈင်း	Zin
ဈင့်	Zin
ဈစ်	Zit
ဈည်	Zi
ဈည်း	Zi
ဈည့်	Zi
ဈတ်	Zat
ဈန်	Zan
ဈန်း	Zan
ဈန့်	Zan
ဈပ်	Zap
ဈမ်	Zam
ဈမ်း	Zam
ဈမ့်	Zam
ဈယ်	Zae
ဈာ	Zar
ဈား	Zar
ဈိ	Zi
ဈိတ်	Zeik
ဈိန်	Zein
ဈိန်း	Zein
ဈိန့်	Zein
ဈိပ်	Zeik
ဈိမ်	Zein
ဈိမ်း	Zein
ဈိမ့်	Zein
ဈို	Zo
ဈိုး	Zo
ဈို့	Zo
ဈိုက်	Zaik
ဈိုင်	Zaing
ဈိုင်း	Zaing
ဈိုင့်	Zaing
ဈီ	Zee
ဈီး	Zee
ဈု	Zu
ဈုံ	Zon
ဈုံး	Zon
ဈုံ့	Zon
ဈုတ်	Zok
ဈုန်	Zon
ဈုန်း	Zon
ဈုန့်	Zon
ဈုပ်	Zok
ဈူ	Zoo
ဈူး	Zoo
ဈေ	Zay
ဈေး	Zay
ဈေ့	Zay
ဈော	Zaw
ဈော့	Zaw
ဈောက်	Zauk
ဈောင်	Zaung
ဈောင်း	Zaung
ဈောင့်	Zaung
ဈဲ	Zae
ဈဲ့	Zae