ဋ	Ta
ဋက်	Tet
ဋင်	Tin
ဋင့်	Tin
ဋင်း	Tin
ဋစ်	Tit
ဋည်	Tyi
ဋည့်	Tyi
ဋည်း	Tyi
ဋတ်	Tat
ဋန်	Tan
ဋန့်	Tan
ဋန်း	Tan
ဋပ်	Tap
ဋမ်	Tam
ဋမ့်	Tam
ဋမ်း	Tam
ဋယ်	Tae
ဋံ	Tan
ဋံ့	Tan
ဋာ	Tar
ဋာ့	Tar
ဋား	Tar
ဋိ	Ti
ဋိတ်	Teik
ဋိန်	Tein
ဋိန့်	Tein
ဋိန်း	Tein
ဋိပ်	Teik
ဋိမ်	Tein
ဋိမ့်	Tein
ဋိမ်း	Tein
ဋီ	Tee
ဋီး	Tee
ဋု	Tu
ဋုတ်	Tok
ဋုန်	Ton
ဋုန့်	Ton
ဋုန်း	Ton
ဋုပ်	Tok
ဋုံ	Ton
ဋုံ့	Ton
ဋုံး	Ton
ဋူ	Too
ဋူး	Too
ဋေ	Tay
ဋေ့	Tay
ဋေး	Tay
ဋဲ	Tae
ဋဲ့	Tae
ဋော	Taw
ဋော့	Taw
ဋောက်	Tauk
ဋောင်	Taung
ဋောင့်	Taung
ဋောင်း	Taung
ဋော်	Taw
ဋို	To
ဋို့	To
ဋိုး	To
ဋိုက်	Taik
ဋိုင်	Taing
ဋိုင့်	Taing
ဋိုင်း	Taing
ဋျ	Tya
ဋျက်	Tyet
ဋျင်	Tyin
ဋျင့်	Tyin
ဋျင်း	Tyin
ဋျစ်	Tyit
ဋျည်	Tyi
ဋျည့်	Tyi
ဋျည်း	Tyi
ဋျတ်	Tyat
ဋျန်	Tyan
ဋျန့်	Tyan
ဋျန်း	Tyan
ဋျပ်	Tyap
ဋျမ်	Tyam
ဋျမ့်	Tyam
ဋျမ်း	Tyam
ဋျယ်	Tyae
ဋျံ	Tyan
ဋျံ့	Tyan
ဋျာ	Tyar
ဋျာ့	Tyar
ဋျား	Tyar
ဋျိ	Tyi
ဋျိတ်	Tyeik
ဋျိန်	Tyein
ဋျိန့်	Tyein
ဋျိန်း	Tyein
ဋျိပ်	Tyeik
ဋျိမ်	Tyein
ဋျိမ့်	Tyein
ဋျိမ်း	Tyein
ဋျီ	Tyee
ဋျီး	Tyee
ဋျု	Tyu
ဋျုတ်	Tyok
ဋျုန်	Tyon
ဋျုန့်	Tyon
ဋျုန်း	Tyon
ဋျုပ်	Tyok
ဋျုံ	Tyon
ဋျုံ့	Tyon
ဋျုံး	Tyon
ဋျူ	Tyoo
ဋျူး	Tyoo
ဋျေ	Tyay
ဋျေ့	Tyay
ဋျေး	Tyay
ဋျဲ	Tyae
ဋျဲ့	Tyae
ဋျော	Tyaw
ဋျော့	Tyaw
ဋျောက်	Tyauk
ဋျောင်	Tyaung
ဋျောင့်	Tyaung
ဋျောင်း	Tyaung
ဋျော်	Tyaw
ဋျို	Tyo
ဋျို့	Tyo
ဋျိုး	Tyo
ဋျိုက်	Tyaik
ဋျိုင်	Tyaing
ဋျိုင့်	Tyaing
ဋျိုင်း	Tyaing
ဋြ	Tya
ဋြက်	Tyet
ဋြင်	Tyin
ဋြင့်	Tyin
ဋြင်း	Tyin
ဋြစ်	Tyit
ဋြည်	Tyi
ဋြည့်	Tyi
ဋြည်း	Tyi
ဋြတ်	Tyat
ဋြန်	Tyan
ဋြန့်	Tyan
ဋြန်း	Tyan
ဋြပ်	Tyap
ဋြမ်	Tyam
ဋြမ့်	Tyam
ဋြမ်း	Tyam
ဋြယ်	Tyae
ဋြံ	Tyan
ဋြံ့	Tyan
ဋြာ	Tyar
ဋြာ့	Tyar
ဋြား	Tyar
ဋြိ	Tyi
ဋြိတ်	Tyeik
ဋြိန်	Tyein
ဋြိန့်	Tyein
ဋြိန်း	Tyein
ဋြိပ်	Tyeik
ဋြိမ်	Tyein
ဋြိမ့်	Tyein
ဋြိမ်း	Tyein
ဋြီ	Tyee
ဋြီး	Tyee
ဋြု	Tyu
ဋြုတ်	Tyok
ဋြုန်	Tyon
ဋြုန့်	Tyon
ဋြုန်း	Tyon
ဋြုပ်	Tyok
ဋြုံ	Tyon
ဋြုံ့	Tyon
ဋြုံး	Tyon
ဋြူ	Tyoo
ဋြူး	Tyoo
ဋြေ	Tyay
ဋြေ့	Tyay
ဋြေး	Tyay
ဋြဲ	Tyae
ဋြဲ့	Tyae
ဋြော	Tyaw
ဋြော့	Tyaw
ဋြောက်	Tyauk
ဋြောင်	Tyaung
ဋြောင့်	Tyaung
ဋြောင်း	Tyaung
ဋြော်	Tyaw
ဋြို	Tyo
ဋြို့	Tyo
ဋြိုး	Tyo
ဋြိုက်	Tyaik
ဋြိုင်	Tyaing
ဋြိုင့်	Tyaing
ဋြိုင်း	Tyaing
ဋွ	Twa
ဋွက်	Twet
ဋွင်	Twin
ဋွင့်	Twin
ဋွင်း	Twin
ဋွတ်	Twat
ဋွန်	Twan
ဋွန့်	Twan
ဋွန်း	Twan
ဋွပ်	Twap
ဋွမ်	Twam
ဋွမ့်	Twam
ဋွမ်း	Twam
ဋွာ	Twar
ဋွာ့	Twar
ဋွား	Twar
ဋွိ	Twi
ဋွီ	Twee
ဋွီး	Twee
ဋွေ	Tway
ဋွေ့	Tway
ဋွေး	Tway
ဋွဲ	Twae
ဋွဲ့	Twae
ဋွော်	Twaw
ဋျွ	Tywa
ဋျွက်	Tywet
ဋျွင်	Tywin
ဋျွင့်	Tywin
ဋျွင်း	Tywin
ဋျွတ်	Tywat
ဋျွန်	Tywan
ဋျွန့်	Tywan
ဋျွန်း	Tywan
ဋျွပ်	Tywap
ဋျွမ်	Tywam
ဋျွမ့်	Tywam
ဋျွမ်း	Tywam
ဋျွာ	Tywar
ဋျွာ့	Tywar
ဋျွား	Tywar
ဋျွိ	Tywi
ဋျွီ	Tywee
ဋျွီး	Tywee
ဋျွေ	Tyway
ဋျွေ့	Tyway
ဋျွေး	Tyway
ဋျွဲ	Tywae
ဋျွဲ့	Tywae
ဋျွော်	Tywaw
ဋြွ	Tywa
ဋြွက်	Tywet
ဋြွင်	Tywin
ဋြွင့်	Tywin
ဋြွင်း	Tywin
ဋြွတ်	Tywat
ဋြွန်	Tywan
ဋြွန့်	Tywan
ဋြွန်း	Tywan
ဋြွပ်	Tywap
ဋြွမ်	Tywam
ဋြွမ့်	Tywam
ဋြွမ်း	Tywam
ဋြွာ	Tywar
ဋြွာ့	Tywar
ဋြွား	Tywar
ဋြွိ	Tywi
ဋြွီ	Tywee
ဋြွီး	Tywee
ဋြွေ	Tyway
ဋြွေ့	Tyway
ဋြွေး	Tyway
ဋြွဲ	Tywae
ဋြွဲ့	Tywae
ဋြွော်	Tywaw