ဟ	Ha
ဟက်	Het
ဟင်	Hin
ဟင့်	Hin
ဟင်း	Hin
ဟစ်	Hit
ဟည်	Hyi
ဟည့်	Hyi
ဟည်း	Hyi
ဟတ်	Hat
ဟန်	Han
ဟန့်	Han
ဟန်း	Han
ဟပ်	Hap
ဟမ်	Ham
ဟမ့်	Ham
ဟမ်း	Ham
ဟယ်	Hae
ဟံ	Han
ဟံ့	Han
ဟာ	Har
ဟာ့	Har
ဟား	Har
ဟိ	Hi
ဟိတ်	Heik
ဟိန်	Hein
ဟိန့်	Hein
ဟိန်း	Hein
ဟိပ်	Heik
ဟိမ်	Hein
ဟိမ့်	Hein
ဟိမ်း	Hein
ဟီ	Hee
ဟီး	Hee
ဟု	Hu
ဟုတ်	Hok
ဟုန်	Hon
ဟုန့်	Hon
ဟုန်း	Hon
ဟုပ်	Hok
ဟုံ	Hon
ဟုံ့	Hon
ဟုံး	Hon
ဟူ	Hoo
ဟူး	Hoo
ဟေ	Hay
ဟေ့	Hay
ဟေး	Hay
ဟဲ	Hae
ဟဲ့	Hae
ဟော	Haw
ဟော့	Haw
ဟောက်	Hauk
ဟောင်	Haung
ဟောင့်	Haung
ဟောင်း	Haung
ဟော်	Haw
ဟို	Ho
ဟို့	Ho
ဟိုး	Ho
ဟိုက်	Haik
ဟိုင်	Haing
ဟိုင့်	Haing
ဟိုင်း	Haing
ဟွ	Hwa
ဟွက်	Hwet
ဟွင်	Hwin
ဟွင့်	Hwin
ဟွင်း	Hwin
ဟွတ်	Hwat
ဟွန်	Hwan
ဟွန့်	Hwan
ဟွန်း	Hwan
ဟွပ်	Hwap
ဟွမ်	Hwam
ဟွမ့်	Hwam
ဟွမ်း	Hwam
ဟွာ	Hwar
ဟွာ့	Hwar
ဟွား	Hwar
ဟွိ	Hwi
ဟွီ	Hwee
ဟွီး	Hwee
ဟွေ	Hway
ဟွေ့	Hway
ဟွေး	Hway
ဟွဲ	Hwae
ဟွဲ့	Hwae
ဟွော်	Hwaw